run number,density,similar-wanted,step,percent-similar
3169,68,28,12,66.37306713642592
3171,68,28,11,66.51404786680541
3173,68,28,8,67.49449228920489
3172,68,28,11,65.76264274061991
3174,68,28,11,66.18513590572135
3175,68,28,8,68.72370266479663
3176,68,28,11,65.56265736974626
3177,68,30,9,71.64904862579282
3178,68,30,14,72.92539815590948
3179,68,30,16,70.27818448023426
3180,68,30,11,73.08006535947712
3181,68,30,10,74.02795980777633
3182,68,30,10,70.50331642606321
3183,68,30,17,72.2339527027027
3185,68,32,13,71.62629757785467
3184,68,30,11,73.5256950294861
3187,68,32,11,72.48545303408146
3186,68,32,12,72.53369798788826
3188,68,32,13,72.78058645096057
3190,68,32,11,71.08102390522531
3189,68,32,15,73.50408953938872
3191,68,32,10,71.13571135711358
3168,68,26,9,67.96273795058728
3192,68,32,13,73.23222375418554
3193,68,34,12,80.24051420277836
3194,68,34,13,78.3448275862069
3196,68,34,13,78.07175786730808
3198,68,34,14,78.88687235329704
3197,68,34,16,78.19307988039299
3199,68,34,15,78.8137356919875
3200,68,34,13,80.12012012012012
3201,68,36,13,78.8940652217946
3203,68,36,10,79.29646111464294
3202,68,36,24,79.06341873162536
3204,68,36,12,78.11579980372915
3205,68,36,13,78.18930041152264
3206,68,36,18,78.85418738810424
3208,68,36,11,78.92494929006085
3207,68,36,15,78.53244390539722
3210,68,38,13,79.85247629083246
3211,68,38,18,82.24183945801683
3212,68,38,17,81.3474870017331
3209,68,38,40,81.38415245737211
3213,68,38,17,81.72442244224423
3214,68,38,12,80.49318364073777
3215,68,38,13,79.5816939324912
3216,68,38,12,81.36920297129092
3217,68,40,13,81.14357788522177
3218,68,40,12,81.93043836180284
3219,68,40,13,80.5543710021322
3221,68,40,13,82.30200633579724
3220,68,40,17,81.95812807881774
3222,68,40,12,80.9584124973612
3224,68,40,15,79.9958150240636
3225,68,42,13,83.6689930209372
3223,68,40,23,80.03746877601998
3226,68,42,14,85.93140275210516
3227,68,42,13,84.76112026359144
3195,68,34,14,79.63156792966298
3228,68,42,17,84.22391857506362
3230,68,42,14,83.57852882703777
3229,68,42,16,82.66364836823242
3232,68,42,16,85.12544802867383
3233,68,44,20,87.7742946708464
3234,68,44,24,88.32692307692308
3235,68,44,17,87.81902552204176
3236,68,44,19,88.97505763990777
3237,68,44,16,87.96430794770698
3239,68,44,15,88.14358974358974
3238,68,44,14,87.62081019946535
3242,68,46,17,87.77467039552536
3240,68,44,23,88.09766022380468
3241,68,46,22,88.57202767875864
3243,68,46,12,87.71743742044973
3244,68,46,16,87.77845902309421
3246,68,46,16,88.14891416752843
3245,68,46,19,86.03649784703711
3248,68,46,20,88.31272437175907
3247,68,46,20,88.08001649824706
3249,68,48,19,86.88880126182966
3250,68,48,17,88.7614191629488
3252,68,48,15,87.65816220701099
3251,68,48,19,87.70379100373208
3253,68,48,16,87.62760310330748
3255,68,48,15,89.29460580912864
3254,68,48,24,87.8522229179712
3256,68,48,17,88.59421734795613
3231,68,42,14,84.68503937007874
3257,68,50,16,88.88662316476345
3258,68,50,16,88.71538621694775
3259,68,50,16,88.62665310274669
3263,68,50,14,88.16153028692881
3262,68,50,19,88.88670724523855
3261,68,50,24,87.9134340547162
3264,68,50,17,88.51239669421489
3265,68,52,31,94.48574969021065
3266,68,52,27,94.77272727272728
3268,68,52,19,94.46171783909833
3267,68,52,23,94.73286766094016
3269,68,52,29,95.09251810136766
3270,68,52,27,95.27496525709748
3271,68,52,32,94.47685725398678
3273,68,54,23,94.48398576512456
3272,68,52,32,94.98901976442403
3274,68,54,28,94.2933231881301
3275,68,54,22,95.08261211644374
3276,68,54,19,94.36509489336726
3278,68,54,22,94.24206815511164
3277,68,54,25,95.54801357556399
3279,68,54,27,94.66666666666667
3280,68,54,25,95.14302169322326
3281,68,56,21,94.1690408357075
3282,68,56,29,95.47154133776485
3283,68,56,27,95.19633246960335
3284,68,56,31,94.9015748031496
3285,68,56,27,95.07206856252435
3260,68,50,18,87.4047332531087
3286,68,56,23,94.07519939232814
3288,68,56,21,94.47013874924592
3287,68,56,27,94.13912375096079
3290,68,58,25,96.75337375317817
3291,68,58,25,96.39960435212662
3292,68,58,26,96.1802748585287
3293,68,58,28,96.47915823553217
3294,68,58,28,96.43981117230527
3296,68,58,30,96.00764087870105
3295,68,58,29,96.29120879120879
3297,68,60,26,96.33117520109869
